duration	team1	team2	year	date	lat	long	place
2.5	USA	USA	1988_hesperia	27-05-1988 (16:00 h)	34.4264	-117.3009	Hesperia_CA
1.5	USA	USA	1991	27-05-1991 (16:00 h)	48.262169	-118.359053	Twin Lakes_ID
1.5	USA	USA	1993	27-05-1993 (16:00 h)	48.1807	-116.9094	Preist River_ID
2.5	USA	USA	1995	27-05-1995 (16:00 h)	48.741	-117.4172	Ione_WA
2	USA	USA	1997	27-05-1997 (16:00 h)	48.0794	-123.1018	Sequim_WA
2.5	USA	USA	1999	27-05-1999 (16:00 h)	48.741	-117.4172	Ione_WA
2	USA	USA	2001	27-05-2001 (16:00 h)	34.5362	-117.2928	Victorville_CA
2	USA	USA	2003	27-05-2003 (16:00 h)	34.434	-117.4347	Oak Hills_CA
1	USA	USA	2005	27-05-2005 (16:00 h)	34.5008	-117.1859	Apple Valley_CA
2	USA	USA	2007	27-05-2007 (16:00 h)	42.2968	-71.2924	Wellesley_MA
1	England	USA	2009	27-05-2009 (16:00 h)	51.5074	-0.1278	"London, UK"
0.5	USA	USA	2010	27-05-2010 (16:00 h)	42.2968	-71.2924	Wellesley_MA
1	USA	USA	2011	27-05-2011 (16:00 h)	34.5008	-117.1859	Apple Valley_CA
2	USA	USA	2012	27-05-2012 (16:00 h)	34.1361	-117.8653	Glendora_CA
2	USA	USA	2014	27-05-2014 (16:00 h)	42.2808	-83.743	Ann Arbor_MI
1	USA	USA	2016	27-05-2016 (16:00 h)	42.7325	-84.5555	Lansing_MI
0.3	USA	USA	2017	27-05-2017 (16:00 h)	41.8781	-87.6298	Chicago_IL
